Service Provider,Package Name,Type,Data Limit,Call Minutes,Price,Validity
Jazz,Daily Social Bundle,Internet,500MB,,PKR 7,1 Day
Jazz,Super Daily Offer,Calls,,300,PKR 14,1 Day
Zong,Super Student Bundle,Calls+Internet,30MB,Unlimited,PKR 5,2 Hours
Zong,Facebook Daily,Internet,500MB,,PKR 5,1 Day
Telenor,Daily Lite Bundle,Internet,50MB,,PKR 12,1 Day
Telenor,Daily Offpeak,Internet,350MB,,PKR 15,1 Day
Ufone,Power Hour,Calls+Internet+SMS,60MB,60,PKR 6,1 Hour
Ufone,Daily Light,Internet,40MB,,PKR 12,1 Day
Jazz,Daily Browser,Internet,500MB,,PKR 11.95,1 Day
Zong,Daily Basic,Internet,100MB,,PKR 15,1 Day
Telenor,3 Day Voice Offer,Calls,,600,PKR 36,3 Days
Ufone,3 Day Bucket,Internet,100MB,,PKR 30,3 Days
Jazz,All in One Social,Internet,3GB,,PKR 89,3 Days
Zong,Hello 1 Din,Calls+SMS,,150,PKR 13,1 Day
Telenor,Video Bundle,Internet,500MB,,PKR 8,1 Hour
Ufone,Streaming Offer,Internet,500MB,,PKR 10,1 Hour
Jazz,Daily SMS + WhatsApp,SMS+Internet,10MB,1800,PKR 7.2,1 Day
Zong,Shandaar Daily Offer,Calls+SMS+Internet,50MB,Unlimited,PKR 14,1 Day
Telenor,Daily SMS Bundle,SMS,,240,PKR 4.78,1 Day
Ufone,Daily Chat,SMS+Internet,10MB,10000,PKR 6,1 Day
Jazz,Daily Browser 87,Internet,500MB,,PKR 10.19,1 Day
Ufone,3 Day Bucket 80,Internet,100MB,,PKR 29.41,3 Days
Zong,Super Student Bundle 62,Calls+Internet,30MB,Unlimited,PKR 4.38,2 Hours
Ufone,3 Day Bucket 80 77,Internet,100MB,,PKR 28.77,3 Days
Jazz,Daily Browser 87 41,Internet,500MB,,PKR 13.93,1 Day
Zong,Super Student Bundle 62 59,Calls+Internet,30MB,Unlimited,PKR 7.68,2 Hours
Telenor,Daily Lite Bundle 20,Internet,50MB,,PKR 10.51,1 Day
Zong,Daily Basic 2,Internet,100MB,,PKR 15.28,1 Day
Telenor,Daily Offpeak 15,Internet,350MB,,PKR 18.42,1 Day
Zong,Hello 1 Din 9,Calls+SMS,,150,PKR 12.29,1 Day
Telenor,Daily Offpeak 15 2,Internet,350MB,,PKR 20.76,1 Day
Zong,Super Student Bundle 85,Calls+Internet,30MB,Unlimited,PKR 8.74,2 Hours
Zong,Super Student Bundle 85 88,Calls+Internet,30MB,Unlimited,PKR 10.6,2 Hours
Zong,Daily Basic 25,Internet,100MB,,PKR 15.0,1 Day
Telenor,Daily Offpeak 15 79,Internet,350MB,,PKR 18.59,1 Day
Jazz,Daily Browser 54,Internet,500MB,,PKR 15.67,1 Day
Ufone,Daily Chat 30,SMS+Internet,10MB,10000,PKR 10.16,1 Day
Telenor,Daily Offpeak 15 2 72,Internet,350MB,,PKR 21.88,1 Day
Zong,Daily Basic 77,Internet,100MB,,PKR 16.81,1 Day
Telenor,3 Day Voice Offer 36,Calls,,600,PKR 33.59,3 Days
Jazz,Daily Browser 87 41 12,Internet,500MB,,PKR 14.02,1 Day
Ufone,Power Hour 68,Calls+Internet+SMS,60MB,60,PKR 8.19,1 Hour
Telenor,Daily SMS Bundle 70,SMS,,240,PKR 6.25,1 Day
Zong,Daily Basic 77 71,Internet,100MB,,PKR 17.35,1 Day
Zong,Daily Basic 2 71,Internet,100MB,,PKR 16.05,1 Day
Jazz,Daily Browser 87 41 12 64,Internet,500MB,,PKR 16.32,1 Day
Zong,Super Student Bundle 7,Calls+Internet,30MB,Unlimited,PKR 2.42,2 Hours
Zong,Daily Basic 73,Internet,100MB,,PKR 18.51,1 Day
Zong,Super Student Bundle 85 87,Calls+Internet,30MB,Unlimited,PKR 8.18,2 Hours
Zong,Super Student Bundle 7 1,Calls+Internet,30MB,Unlimited,PKR 1.72,2 Hours
